"window_size","test_date","EWA","V2","V3","V4","QRA3","QRA4","GQRA2","GQRA3","GQRA4"
1,2020-06-06,24.0975877960634,21.3185929748118,24.9960425113571,25.0035042166923,34.0237050257953,34.2403917527234,21.1224866502902,63.5583874670503,29.4994373024617
1,2020-06-13,19.476450788541,16.4602162322996,15.2889869994299,15.2598004992285,20.8250147716293,20.9823737048813,22.229597017774,33.0078006676355,16.2141918797772
1,2020-06-20,18.9118035263425,14.4823065195885,20.6902587454908,20.8880667263416,28.4614737828088,27.9026424703466,19.3766153419084,21.1754055204531,25.1519288240826
2,2020-06-06,24.0975877960634,20.4416168891017,23.8706577068986,23.8727308414006,29.6724239416573,34.0055416603717,23.1576794885628,36.934536155307,27.9442040836683
2,2020-06-13,19.476450788541,17.2766329657609,16.8823982365501,17.1744808324748,25.8004749518211,25.1730242659398,21.5122879156865,34.5025464325554,19.8025113244819
2,2020-06-20,18.9118035263425,16.9553344896249,21.5002401239457,21.4510840277276,24.2899727438816,23.257883599079,18.5216349621021,18.5704738095373,23.8351328514073
3,2020-06-06,24.0975877960634,22.2298649387314,25.065347136888,25.0756761702646,29.7974834481571,32.9307425018282,31.5315815440498,50.1484685133444,26.4055898786105
3,2020-06-13,19.476450788541,16.6569089274973,16.7626875702891,16.7724992736009,22.3570000660078,21.8742459426696,24.543714589095,27.9902500973356,17.7787501163606
3,2020-06-20,18.9118035263425,16.5889616619204,18.1588897588576,18.034945246842,21.4292440602547,20.8063842926863,20.7983547289913,20.8336797735908,18.5522367205842
4,2020-06-06,24.0975877960634,21.5788070551094,22.0616954018099,22.0519767902526,24.5535342081274,28.9401304186184,23.3770625576862,28.4899150610794,22.7394802573932
4,2020-06-13,19.476450788541,16.8677234645798,17.1060528216271,17.0453415992385,19.3973771146584,18.5775519989689,20.7501227096169,20.8646445170889,16.7916536094458
4,2020-06-20,18.9118035263425,16.6011508774363,16.831619074674,16.8966053670145,22.5514183350935,21.9727860365565,20.1728695372607,20.8055827650678,20.0549261930634
