"window_size","test_date","QRA2"
1,2020-05-16,39.2474655249273
1,2020-05-23,41.4133795554473
1,2020-05-30,37.3370116886397
1,2020-06-06,40.5958418018721
1,2020-06-13,37.1753385947539
1,2020-06-20,30.1929754683364
1,2020-06-27,91.7086577583708
1,2020-07-04,31.9960106704236
2,2020-05-23,40.5208733012346
2,2020-05-30,37.3735266659264
2,2020-06-06,39.8260840884424
2,2020-06-13,39.2055070049022
2,2020-06-20,29.2688436743504
2,2020-06-27,86.6817372549887
2,2020-07-04,30.307205365841
3,2020-05-30,36.4009943669907
3,2020-06-06,45.3297755010758
3,2020-06-13,37.4467536226846
3,2020-06-20,30.7372650257726
3,2020-06-27,82.5714730154778
3,2020-07-04,29.7542674924892
4,2020-06-06,43.1700381716916
4,2020-06-13,37.169396068916
4,2020-06-20,28.140452064237
4,2020-06-27,84.6928133178287
4,2020-07-04,29.3023165409977
